Workout Order,Title,Desc,Type,BodyPart,Equipment,Level,Rating
1,Upward Stretch,No Description! Search up Online!,Stretching,Shoulders,Body Only,Intermediate,6.7
2,Behind Head Chest Stretch,No Description! Search up Online!,Stretching,Chest,Other,Beginner,4.9
3,Overhead Triceps,No Description! Search up Online!,Stretching,Triceps,Body Only,Beginner,3.3
4,Towel dumbbell front raise,The towel dumbbell front raise is a variation of the dumbbell front raise that involves hanging a dumbbell from a towel held in the hands. It could also be performed with a kettlebell or weight plate. It can provide variety in a shoulder-focused muscle-building workout or as part of an upper-body or full-body circuit.,Strength,Shoulders,Other,Intermediate,0.0
5,Cable shrug,"The cable shrug is an exercise targeting the traps, as well as hitting the shoulders and upper back. Cables allow for lighter loading which is beneficial for higher-rep sets.",Strength,Traps,Cable,Intermediate,7.9
6,Diamond push-up,"The diamond push-up is an advanced variation of the push-up exercise performed with the hands in a diamond shape. It increases the challenge to the triceps, but also targets the chest and shoulders.",Strength,Chest,Body Only,Intermediate,0.0
7,Decline Dumbbell Triceps Extension,No Description! Search up Online!,Strength,Triceps,Dumbbell,Beginner,8.5
8,Elbow plank,"The elbow plank is a popular isometric abdominal exercise. It is common in all types of exercise programs, as well as in group fitness and yoga classes. It targets the muscles of the core, the deep core or transversus abdominis in particular. It is also often prescribed for time to help back pain or to teach proper bracing.",Strength,Abdominals,Body Only,Intermediate,9.3
9,Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Strength,Abdominals,Dumbbell,Intermediate,5.9
10,Holman Straight-Leg Boat Hover Chest Press,No Description! Search up Online!,Strength,Abdominals,Other,Intermediate,5.9
